websites,sku,product_id,part_number,mfg_code,mfg_name,manufacturer_name,ship_method,category_name,sub_category,category_ids,stripped_part,store,attribute_set,type,root_category,product_websites,color,vpd_cost,cost,shipping_note,country_of_manufacture,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,Description,options_container,page_layout,price,supplier,required_options,short_description,url_key,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
base,2404130@TAYLOR,2404130@TAYLOR,2404130,TAYLOR,TAYLOR,TAYLOR,,Replacement Parts,,120,2404130,3460,Default,simple,Default Category,base,,267.48,445.8,,,,,,,2404130-COVER,,,0,,,,,,,,,Use config,Use config,2404130-COVER,2404130-COVER,Product Info Column,,445.8,,,TAYLOR,2404130-COVER,,,,,,Enabled,None,,,,,,"Catalog, Search",42,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,2404-4-2@BRENNAN,2404-4-2@BRENNAN,4/2/2404,BRENNAN,BRENNAN,BRENNAN,,Replacement Parts,,120,4/2/2404,3461,Default,simple,Default Category,base,,0.95,1.58,,,,,,,184176-CONNECTOR,,,0,,,,,,,,,Use config,Use config,184176-CONNECTOR,184176-CONNECTOR,Product Info Column,,1.58,,,BRENNAN,184176-CONNECTOR,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,240467@CLARK,240467@CLARK,240467,CLARK,CLARK,CLARK,,Replacement Parts,,120,240467,3462,Default,simple,Default Category,base,,260.51,434.18,,,,,,,240467-TURBINE,,,0,,,,,,,,,Use config,Use config,240467-TURBINE,240467-TURBINE,Product Info Column,,434.18,,,CLARK,240467-TURBINE,,,,,,Enabled,None,,,,,,"Catalog, Search",12,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,2404-LL-04-02@BRENNAN,2404-LL-04-02@BRENNAN,2404-LL-04-02,BRENNAN,BRENNAN,BRENNAN,,Replacement Parts,,120,2404-LL-04-02,3463,Default,simple,Default Category,base,,19.61,32.68,,,,,,,2404-LL-04-02-FITTING,,,0,,,,,,,,,Use config,Use config,2404-LL-04-02-FITTING,2404-LL-04-02-FITTING,Product Info Column,,32.68,,,BRENNAN,2404-LL-04-02-FITTING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,2404-LL-4-2@AIR-WAY MANUFACTURING CO.,2404-LL-4-2@AIR-WAY MANUFACTURING CO.,2404-LL-4-2,AIR-WAY MANUFACTURING CO.,AIR-WAY MANUFACTURING CO,AIR-WAY MANUFACTURING CO,,Replacement Parts,,120,2404-LL-4-2,3464,Default,simple,Default Category,base,,19.61,32.68,,,,,,,2404-LL-4-2-FITTING,,,0,,,,,,,,,Use config,Use config,2404-LL-4-2-FITTING,2404-LL-4-2-FITTING,Product Info Column,,32.68,,,AIR-WAY MANUFACTURING CO,2404-LL-4-2-FITTING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,2405401@CATERPILLAR,2405401@CATERPILLAR,2405401,CATERPILLAR,CATERPILLAR,CATERPILLAR,,Replacement Parts,,120,2405401,3465,Default,simple,Default Category,base,,160.85,268.08,,,,,,,2405401-BUSHING,,,0,,,,,,,,,Use config,Use config,2405401-BUSHING,2405401-BUSHING,Product Info Column,,268.08,,,CATERPILLAR,2405401-BUSHING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,24055@TREEFARMER,24055@TREEFARMER,24055,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,24055,3466,Default,simple,Default Category,base,,0.82,1.37,,,,,,,24055-BREATHER,,,0,,,,,,,,,Use config,Use config,24055-BREATHER,24055-BREATHER,Product Info Column,,1.37,,,TREEFARMER,24055-BREATHER,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,24059-10@COLE HERSEE,24059-10@COLE HERSEE,24059-10,COLE HERSEE,COLE HERSEE,COLE HERSEE,,Replacement Parts,,120,24059-10,3467,Default,simple,Default Category,base,,23.32,38.87,,,,,,,24059-10-SOLENOID 12 VOL,,,0,,,,,,,,,Use config,Use config,24059-10-SOLENOID 12 VOL,24059-10-SOLENOID 12 VOL,Product Info Column,,38.87,,,COLE HERSEE,24059-10-SOLENOID 12 VOL,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,24059-BP@COLE HERSEE,24059-BP@COLE HERSEE,24059-BP,COLE HERSEE,COLE HERSEE,COLE HERSEE,,Replacement Parts,,120,24059-BP,3468,Default,simple,Default Category,base,,23.32,38.87,,,,,,,24059-BP-SOLENOID 12 VOL,,,0,,,,,,,,,Use config,Use config,24059-BP-SOLENOID 12 VOL,24059-BP-SOLENOID 12 VOL,Product Info Column,,38.87,,,COLE HERSEE,24059-BP-SOLENOID 12 VOL,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,2407061@DODGE,2407061@DODGE,2407061,DODGE,DODGE,DODGE,,Replacement Parts,,120,2407061,3469,Default,simple,Default Category,base,,69.1,115.17,,,,,,,2407061-RAIL,,,0,,,,,,,,,Use config,Use config,2407061-RAIL,2407061-RAIL,Product Info Column,,115.17,,,DODGE,2407061-RAIL,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
