websites,sku,product_id,part_number,mfg_code,mfg_name,manufacturer_name,ship_method,category_name,sub_category,category_ids,stripped_part,store,attribute_set,type,root_category,product_websites,color,vpd_cost,cost,shipping_note,country_of_manufacture,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,Description,options_container,page_layout,price,supplier,required_options,short_description,url_key,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
base,000651-2169@ECHLIN MANUFACTURING,000651-2169@ECHLIN MANUFACTURING,000651-2169,ECHLIN MANUFACTURING,ECHLIN MANUFACTURING,ECHLIN MANUFACTURING,,Replacement Parts,,120,000651-2169,0,Default,simple,Default Category,base,,28.62,47.7,,,,,,,000651-2169-U JOINT,,,0,,,,,,,,,Use config,Use config,000651-2169-U JOINT,000651-2169-U JOINT,Product Info Column,,47.7,Right Parts,,ECHLIN MANUFACTURING,000651-2169-U JOINT,,,,,,Enabled,None,,,,,,"Catalog, Search",3,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,001-1019@FRANKLIN,001-1019@FRANKLIN,001-1019,FRANKLIN,FRANKLIN,FRANKLIN,,Replacement Parts,,120,001-1019,0,Default,simple,Default Category,base,,12.54,20.9,,,,,,,001-1019-PIN,,,0,,,,,,,,,Use config,Use config,001-1019-PIN,001-1019-PIN,Product Info Column,,20.9,Right Parts,,FRANKLIN,001-1019-PIN,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,001-1037@FRANKLIN,001-1037@FRANKLIN,001-1037,FRANKLIN,FRANKLIN,FRANKLIN,,Replacement Parts,,120,001-1037,0,Default,simple,Default Category,base,,65.44,109.07,,,,,,,001-1037-PIN,,,0,,,,,,,,,Use config,Use config,001-1037-PIN,001-1037-PIN,Product Info Column,,109.07,Right Parts,,FRANKLIN,001-1037-PIN,,,,,,Enabled,None,,,,,,"Catalog, Search",6,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,001-1039@FRANKLIN,001-1039@FRANKLIN,001-1039,FRANKLIN,FRANKLIN,FRANKLIN,,Replacement Parts,,120,001-1039,0,Default,simple,Default Category,base,,30.98,51.63,,,,,,,001-1039-NUT,,,0,,,,,,,,,Use config,Use config,001-1039-NUT,001-1039-NUT,Product Info Column,,51.63,Right Parts,,FRANKLIN,001-1039-NUT,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,0011474@FRANKLIN,0011474@FRANKLIN,11474,FRANKLIN,FRANKLIN,FRANKLIN,,Replacement Parts,,120,11474,0,Default,simple,Default Category,base,,23.21,38.68,,,,,,,11474-BUSHING,,,0,,,,,,,,,Use config,Use config,11474-BUSHING,11474-BUSHING,Product Info Column,,38.68,Right Parts,,FRANKLIN,11474-BUSHING,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,001-1474@FRANKLIN,001-1474@FRANKLIN,001-1474,FRANKLIN,FRANKLIN,FRANKLIN,,Replacement Parts,,120,001-1474,0,Default,simple,Default Category,base,,23.21,38.68,,,,,,,001-1474-BUSHING,,,0,,,,,,,,,Use config,Use config,001-1474-BUSHING,001-1474-BUSHING,Product Info Column,,38.68,Right Parts,,FRANKLIN,001-1474-BUSHING,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,00115.3091@CLARK,00115.3091@CLARK,115.3091,CLARK,CLARK,CLARK,,Replacement Parts,,120,115.3091,0,Default,simple,Default Category,base,,25.66,42.77,,,,,,,115.3091-SEAL INNER,,,0,,,,,,,,,Use config,Use config,115.3091-SEAL INNER,115.3091-SEAL INNER,Product Info Column,,42.77,Right Parts,,CLARK,115.3091-SEAL INNER,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,00115.3092@CLARK,00115.3092@CLARK,115.3092,CLARK,CLARK,CLARK,,Replacement Parts,,120,115.3092,0,Default,simple,Default Category,base,,22.86,38.1,,,,,,,115.3092-SEAL,,,0,,,,,,,,,Use config,Use config,115.3092-SEAL,115.3092-SEAL,Product Info Column,,38.1,Right Parts,,CLARK,115.3092-SEAL,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,00115.3214@CLARK,00115.3214@CLARK,115.3214,CLARK,CLARK,CLARK,,Replacement Parts,,120,115.3214,0,Default,simple,Default Category,base,,9.38,15.63,,,,,,,115.3214-SEAL,,,0,,,,,,,,,Use config,Use config,115.3214-SEAL,115.3214-SEAL,Product Info Column,,15.63,Right Parts,,CLARK,115.3214-SEAL,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,001-2308@FRANKLIN,001-2308@FRANKLIN,001-2308,FRANKLIN,FRANKLIN,FRANKLIN,,Replacement Parts,,120,001-2308,0,Default,simple,Default Category,base,,2.4,4,,,,,,,001-2308-GASKET,,,0,,,,,,,,,Use config,Use config,001-2308-GASKET,001-2308-GASKET,Product Info Column,,4,Right Parts,,FRANKLIN,001-2308-GASKET,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
