websites,sku,product_id,part_number,mfg_code,mfg_name,manufacturer_name,ship_method,category_name,sub_category,category_ids,stripped_part,store,attribute_set,type,root_category,product_websites,color,vpd_cost,cost,shipping_note,country_of_manufacture,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,Description,options_container,page_layout,price,supplier,required_options,short_description,url_key,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
base,954528@DETROIT,954528@DETROIT,954528,DETROIT,DETROIT,DETROIT,,Replacement Parts,,120,954528,13811,Default,simple,Default Category,base,,11.24,18.73,,,,,,,954528-BEARING,,,0,,,,,,,,,Use config,Use config,954528-BEARING,954528-BEARING,Product Info Column,,18.73,,,DETROIT,954528-BEARING,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,955743@CLARK,955743@CLARK,955743,CLARK,CLARK,CLARK,,Replacement Parts,,120,955743,13812,Default,simple,Default Category,base,,1.78,2.97,,,,,,,955743-BREATHER,,,0,,,,,,,,,Use config,Use config,955743-BREATHER,955743-BREATHER,Product Info Column,,2.97,,,CLARK,955743-BREATHER,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,95606@NEW PROCESS,95606@NEW PROCESS,95606,NEW PROCESS,NEW PROCESS,NEW PROCESS,,Replacement Parts,,120,95606,13813,Default,simple,Default Category,base,,53.86,89.77,,,,,,,95606-YOKE,,,0,,,,,,,,,Use config,Use config,95606-YOKE,95606-YOKE,Product Info Column,,89.77,,,NEW PROCESS,95606-YOKE,,,,,,Enabled,None,,,,,,"Catalog, Search",3,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,956-3125@COLE HERSEE,956-3125@COLE HERSEE,956-3125,COLE HERSEE,COLE HERSEE,COLE HERSEE,,Replacement Parts,,120,956-3125,13814,Default,simple,Default Category,base,,18.9,31.5,,,,,,,956-3125-IGNITION SWITCH,,,0,,,,,,,,,Use config,Use config,956-3125-IGNITION SWITCH,956-3125-IGNITION SWITCH,Product Info Column,,31.5,,,COLE HERSEE,956-3125-IGNITION SWITCH,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,95702@NEW PROCESS,95702@NEW PROCESS,95702,NEW PROCESS,NEW PROCESS,NEW PROCESS,,Replacement Parts,,120,95702,13815,Default,simple,Default Category,base,,0.46,0.77,,,,,,,95702-WASHER,,,0,,,,,,,,,Use config,Use config,95702-WASHER,95702-WASHER,Product Info Column,,0.77,,,NEW PROCESS,95702-WASHER,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,95703@NEW PROCESS,95703@NEW PROCESS,95703,NEW PROCESS,NEW PROCESS,NEW PROCESS,,Replacement Parts,,120,95703,13816,Default,simple,Default Category,base,,0.67,1.12,,,,,,,95703-RING,,,0,,,,,,,,,Use config,Use config,95703-RING,95703-RING,Product Info Column,,1.12,,,NEW PROCESS,95703-RING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,95827@NEW PROCESS,95827@NEW PROCESS,95827,NEW PROCESS,NEW PROCESS,NEW PROCESS,,Replacement Parts,,120,95827,13817,Default,simple,Default Category,base,,2.98,4.97,,,,,,,95827-SEAL,,,0,,,,,,,,,Use config,Use config,95827-SEAL,95827-SEAL,Product Info Column,,4.97,,,NEW PROCESS,95827-SEAL,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,95849@NEW PROCESS,95849@NEW PROCESS,95849,NEW PROCESS,NEW PROCESS,NEW PROCESS,,Replacement Parts,,120,95849,13818,Default,simple,Default Category,base,,18.4,30.67,,,,,,,95849-GEAR,,,0,,,,,,,,,Use config,Use config,95849-GEAR,95849-GEAR,Product Info Column,,30.67,,,NEW PROCESS,95849-GEAR,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,9594@TREEFARMER,9594@TREEFARMER,9594,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,9594,13819,Default,simple,Default Category,base,,6.78,11.3,,,,,,,9594-SEAL,,,0,,,,,,,,,Use config,Use config,9594-SEAL,9594-SEAL,Product Info Column,,11.3,,,TREEFARMER,9594-SEAL,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,9595@TREEFARMER,9595@TREEFARMER,9595,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,9595,13820,Default,simple,Default Category,base,,3.31,5.52,,,,,,,9595-SEAL,,,0,,,,,,,,,Use config,Use config,9595-SEAL,9595-SEAL,Product Info Column,,5.52,,,TREEFARMER,9595-SEAL,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
