websites,sku,product_id,part_number,mfg_code,mfg_name,manufacturer_name,ship_method,category_name,sub_category,category_ids,stripped_part,store,attribute_set,type,root_category,product_websites,color,vpd_cost,cost,shipping_note,country_of_manufacture,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,Description,options_container,page_layout,price,supplier,required_options,short_description,url_key,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
base,5/16-18X1.1/2@ROCKWELL,5/16-18X1.1/2@ROCKWELL,5/16-18X1.1/2,ROCKWELL,ROCKWELL,ROCKWELL,,Replacement Parts,,120,5/16-18X1.1/2,8470,Default,simple,Default Category,base,,0.35,0.58,,,,,,,5/16-18X1.1/2-BOLT,,,0,,,,,,,,,Use config,Use config,5/16-18X1.1/2-BOLT,5/16-18X1.1/2-BOLT,Product Info Column,,0.58,,,ROCKWELL,5/16-18X1.1/2-BOLT,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5/16-18X1-1/2@ROCKWELL,5/16-18X1-1/2@ROCKWELL,5/16-18X1-1/2,ROCKWELL,ROCKWELL,ROCKWELL,,Replacement Parts,,120,5/16-18X1-1/2,8471,Default,simple,Default Category,base,,0.35,0.58,,,,,,,5/16-18X1-1/2-BOLT,,,0,,,,,,,,,Use config,Use config,5/16-18X1-1/2-BOLT,5/16-18X1-1/2-BOLT,Product Info Column,,0.58,,,ROCKWELL,5/16-18X1-1/2-BOLT,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5/16-18X2@ROCKWELL,5/16-18X2@ROCKWELL,5/16-18X2,ROCKWELL,ROCKWELL,ROCKWELL,,Replacement Parts,,120,5/16-18X2,8472,Default,simple,Default Category,base,,1,1.67,,,,,,,5/16-18X2-BOLT,,,0,,,,,,,,,Use config,Use config,5/16-18X2-BOLT,5/16-18X2-BOLT,Product Info Column,,1.67,,,ROCKWELL,5/16-18X2-BOLT,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5/16NFX1@MISCELLANEOUS,5/16NFX1@MISCELLANEOUS,5/16NFX1,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,,Replacement Parts,,120,5/16NFX1,8473,Default,simple,Default Category,base,,0.16,0.27,,,,,,,5/16NFX1-BOLT,,,0,,,,,,,,,Use config,Use config,5/16NFX1-BOLT,5/16NFX1-BOLT,Product Info Column,,0.27,,,MISCELLANEOUS,5/16NFX1-BOLT,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5/16X3/4NC@MISCELLANEOUS,5/16X3/4NC@MISCELLANEOUS,5/16X3/4NC,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,,Replacement Parts,,120,5/16X3/4NC,8474,Default,simple,Default Category,base,,0.11,0.18,,,,,,,5/16X3/4NC-HEX BOLT,,,0,,,,,,,,,Use config,Use config,5/16X3/4NC-HEX BOLT,5/16X3/4NC-HEX BOLT,Product Info Column,,0.18,,,MISCELLANEOUS,5/16X3/4NC-HEX BOLT,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5/32X1-1/2@MISCELLANEOUS,5/32X1-1/2@MISCELLANEOUS,5/32X1-1/2,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,,Replacement Parts,,120,5/32X1-1/2,8475,Default,simple,Default Category,base,,0.14,0.23,,,,,,,5/32X1-1/2-COTTER PIN,,,0,,,,,,,,,Use config,Use config,5/32X1-1/2-COTTER PIN,5/32X1-1/2-COTTER PIN,Product Info Column,,0.23,,,MISCELLANEOUS,5/32X1-1/2-COTTER PIN,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5000-0350-PP-R@DAEMAR,5000-0350-PP-R@DAEMAR,5000-0350-PP-R,DAEMAR,DAEMAR,DAEMAR,,Replacement Parts,,120,5000-0350-PP-R,8476,Default,simple,Default Category,base,,2.26,3.77,,,,,,,5000-0350-PP-R-SNAPRING,,,0,,,,,,,,,Use config,Use config,5000-0350-PP-R-SNAPRING,5000-0350-PP-R-SNAPRING,Product Info Column,,3.77,,,DAEMAR,5000-0350-PP-R-SNAPRING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-110@TREEFARMER,50002-110@TREEFARMER,50002-110,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-110,8477,Default,simple,Default Category,base,,0.08,0.13,,,,,,,50002-110-ORING,,,0,,,,,,,,,Use config,Use config,50002-110-ORING,50002-110-ORING,Product Info Column,,0.13,,,TREEFARMER,50002-110-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-115@TREEFARMER,50002-115@TREEFARMER,50002-115,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-115,8478,Default,simple,Default Category,base,,0.06,0.1,,,,,,,50002-115-ORING,,,0,,,,,,,,,Use config,Use config,50002-115-ORING,50002-115-ORING,Product Info Column,,0.1,,,TREEFARMER,50002-115-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-116@TREEFARMER,50002-116@TREEFARMER,50002-116,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-116,8479,Default,simple,Default Category,base,,0.18,0.3,,,,,,,50002-116-ORING,,,0,,,,,,,,,Use config,Use config,50002-116-ORING,50002-116-ORING,Product Info Column,,0.3,,,TREEFARMER,50002-116-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-117@TREEFARMER,50002-117@TREEFARMER,50002-117,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-117,8480,Default,simple,Default Category,base,,0.1,0.17,,,,,,,50002-117-ORING,,,0,,,,,,,,,Use config,Use config,50002-117-ORING,50002-117-ORING,Product Info Column,,0.17,,,TREEFARMER,50002-117-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-145@TREEFARMER,50002-145@TREEFARMER,50002-145,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-145,8481,Default,simple,Default Category,base,,1.03,1.72,,,,,,,50002-145-ORING,,,0,,,,,,,,,Use config,Use config,50002-145-ORING,50002-145-ORING,Product Info Column,,1.72,,,TREEFARMER,50002-145-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
