Cost,ID
1369.7,6967512@0211
1369.93,658157C1@0096
1369.97,0423-0643@1098
1370.08,6774404@0005
1370.5,88840-02/100@0815
1371.12,52105@0095
1371.57,347-9172-007@0018
1372.13,S2877@0043
1372.22,09604034@0612
1372.28,D68782596@2339
1372.43,55689@0161
1372.82,6880225@0005
1373.3,HEK11-0122@0036
1373.9,850NYSM34148@0107
1374.03,1830914-S@2128
1374.08,6962065@0211
1374.1,6969953@0211
1374.12,6400703@0066
1374.62,3138633@0399
1374.77,TJ0573@0125
1374.83,5000-C-106 G@0094
1374.98,916085@0161
1375.08,29266@1630
1375.12,9963086100000@2339
1375.17,6974601@0211
1375.5,WDI905B-1R@0902
1375.63,71LB-07030@0612
1375.73,392SEC4@1474
1376.2,2086029@2339
1376.22,235-1063@0012
1376.22,3347A041@1557
1376.27,V34015020@2339
1376.42,104995@1630
1376.7,9900111@0115
1377.03,R91700874@1576
1377.23,209-0140@2339
1377.3,44011612@1607
1377.35,3818796M95@2339
1377.47,3030D1A1AL@0095
1377.47,R1C6187C51A2L2HA@0095
1377.53,145-21-32132@1563
1377.88,KR3H-9N1S@2073
1378.37,6968936@0211
1378.4,KU55702730@2339
1378.42,822100150010@2339
1378.53,VF14X4@0095
1379,4112-333-186@0612
1379.02,E65011801@0107
1379.07,3783827M11@2339
1379.15,61S4-02000@0612
1379.25,VE7211@0125
1379.72,KHJC-61204-1@1563
1380.28,180-0497@2339
1380.33,32E5-00130@0612
1380.42,82025@1630
1380.48,6806260@0211
1381.17,4651-353-047@0612
1381.22,GW-4825J@2450
1381.35,4656-303-006@1623
1381.43,VS7325@0125
1381.67,A6000026-001@0317
1381.67,HV225401@0139
1381.75,3266W985@0107
1382,31E4-00480@0612
1382.52,81528@0278
1383.05,6598965@0211
1383.23,38914-3205@0317
1384.28,20Y-27-13190@1563
1384.7,0899-313-708@1623
1384.93,3891J1232@0107
1385.33,40035@1630
1385.63,4460-368-008@1623
1385.72,M5211367@0172
1386.17,20G-68-11270@1563
1386.43,A3111G3309@0107
1386.67,72347@1630
1387.47,6668236@2339
1387.5,700-22-15003@1563
1387.98,3540543M91@2339
1388.18,4294943M97@2339
1388.3,3166303@0612
1388.3,M0017282ME@1492
1388.35,4644-252-073@1623
1388.63,6515465@0211
1388.68,R902033737@1576
1388.83,71319716@2339
1389.15,4045042@0072
1389.77,6513182@0211
1389.95,9650265@0107
1390.08,30279@1630
1390.15,6041-232-016@1623
1390.33,76437@1630
1390.45,1016358@0161
1390.45,217199@0153
1390.62,700730918@2339
1390.68,D28787418@2339
1390.78,0-513-200-103@0110
1390.82,AG427124@2339
1390.95,31E6-12020@0612
1390.95,71E9-3101@0612
1390.98,3200363@0399
1391.05,6664370@0211
1391.25,4503-15B@0094
1391.25,E-60230579@0163
1391.43,4463-314-014@1623
1391.47,WR37388@2339
1391.5,03-460-410@1490
1391.78,PGP517B0380AE1H3VP4@0018
1392,177142500@1954
1392.52,3262F888@1580
1393.33,4646-355-021@1623
1393.38,627873C91@0096
1393.5,E-49311079@0163
1393.92,6512285@0211
1394.02,074102800@1954
1394.13,7802018@1590
1394.48,64087@0020
1395.15,6630676@0211
1395.67,2258S1449X@0107
1396.47,6630675@0211
1397,26158@1630
1397.25,VE0639@0125
1397.6,204896@0701
1398.37,3891Z1118@0107
1398.48,AG522367@2339
1398.57,691876C93@0096
1398.6,F433147@0086
1399.08,7509-172@0382
1399.2,VJ9065@0125
1399.22,23016887@0005
1399.58,3785128M93@2339
1399.68,13-9172@2123
1399.93,62.079.05.600@1881
1400.32,E503559@2339
1400.37,2-547-449-999-00@1385
1400.7,A443235D1174@0107
1401,3529920@0278
1401.47,SN2500092@2339
1402.03,6776010@0005
1402.2,3819R278@0107
1402.2,73022307@1137
1402.25,3709091M93@2339
1402.85,11EM-92510@0612
1402.85,11E5-94010@0612
1402.87,73028096@1137
1403.38,117923700@1954
1403.53,74100PEZ1@1474
1403.53,M100PE21@1474
1403.53,M100PEZ1@1474
1403.58,6675145@0211
1403.98,D26730206@2339
1404.18,1PF2G330/023LN07MHL@1576
1404.47,HRRA00TC6@0107
1404.48,706289C1@0096
1404.55,71EM-40004@0612
1405.18,6544911@0211
1405.9,999305@1904
1406.6,155508800@1954
1406.78,333-9132-015@0018
1407.2,D28282866@2339
1407.98,D86880664@2339
1408.02,AG334290@2339
1408.08,VJ8051@0125
1408.13,MF2024-2995@1544
1408.88,6960606@0211
1409.37,F017744@0086
1409.43,21851316@1578
1409.78,084016879@1576
1410.27,3802E1981@0107
1410.57,20Y-60-A1310@1563
1410.97,6770614@0005
1411.37,3233273@0612
1411.53,CU3022505@1563
1412.02,36462040@1607
1412.28,150-7149@1660
1412.57,0PV1/023-L4Z-RQN914-B1@1660
1412.72,875481C2@0096
1412.85,A3111R3164@0107
1413.75,02411243@1576
1413.75,204172@0701
1413.75,5030-009-002@1576
1414,707-36-18400@0612
1414.75,31EK-03011@0612
1414.88,20K-06-11270@1563
1414.88,209-62-28641@1563
1415.07,31Y1-16520@0612
1415.35,MH2FAER22DE40/1HG12C4A10V16@1576
1415.37,7475-A-9A@0094
1415.37,842593000@0086
1416.18,6682082@0211
1416.33,VJ1116@0125
1416.4,2942A1C1L@0095
1416.47,104880X@0009
1416.47,104880@0009
1416.47,31N1-51111@0612
1416.47,E111-42020@0612
1416.5,6967325@0211
1417.02,WR41541@2339
1417.23,225S113@0030
1417.28,334286@0653
1417.28,4699012@0879
1417.47,6589523@0211
1417.55,6645048@0211
1417.72,3017C1A1AL@0095
1417.95,29529472@0701
1418.48,2809483@2003
1418.48,702-9522-004@0018
1418.92,26837@1630
1419.1,4644-353-058@1623
1419.3,K1495@0043
1419.45,4111D135@1557
1419.75,2819258@2003
1420.42,3522346@0563
1420.5,E-5080001-SR@0163
1420.8,361-9203-313@0018
1420.8,I-1-26-3313@0461
1421.3,4415-201-012@0612
1421.57,6963788@0211
1421.8,E65010778@0107
1422,8066741@0317
1422,WFL056RG1@0107
1422.68,88837-16/00@0815
1422.75,20941-70113@0279
1422.9,ATV3402-269@2339
1423.12,4WE6B53/AG24K4@1576
1423.27,31LD-90010@0612
1423.28,173250400@1954
1423.48,705412C1@0096
1423.53,306-S-11@0030
1423.53,A3230A1@0107
1423.77,D706248-3X@0107
1423.92,100464@1630
1423.98,88837-26/00@0815
1424.1,MX152718@0107
1424.58,100568@1630
1424.73,6960838@0211
1425.15,A71614748@0107
1425.17,101691@1630
1425.22,30-3206718@2339
1425.42,63355@1630
1425.58,01087300@0278
1425.83,D706050X@0107
1425.85,3529910@0278
1426.42,ZTAM-00565@0612
1426.6,5010024@0104
1427.05,6516439@0211
1427.22,6513838@0211
1427.22,AG622181@2339
1427.23,91768@0151
1427.25,WMP905B-I55@0902
1427.25,05015655AC@1574
1427.7,83400-787@0043
1427.75,6779322@0005
1429.73,R171558@0107
1429.97,21175042@1578
1430.08,31Y1-12830@0612
1430.68,BW053350@1563
1430.8,071207600@1954
1430.8,G5-16-6-HF11F-24-R@2128
1431.38,04034700@0278
1431.53,232-23-05051@1563
1431.82,HF35082-06@0458
1432.12,02025341@0149
1432.18,ME246731JCAB@0111
1432.38,348-9202-768@0018
1432.38,4657-372-005@1623
1432.58,GK21C01074P1@1945
1432.63,37172402@1557
1432.77,273-03-11110@1563
1432.93,34L4-00567@0612
1433.45,6884076@0005
1433.45,6884159@0005
1433.47,280007064@0612
1433.78,4292501M94@2339
1434.27,D94F213-00@0094
1434.83,157B4032@1660
1435,0750-117-257@1623
1435.17,293G-9C39@0612
1435.47,2-250D0V2-E@0211
1436,003-00035-1@0250
1436,3515520@0278
1436.07,631467C91@0096
1436.2,7760-900-323@1623
1436.25,E-92001999@0163
1436.57,MHFP04G2-1X/1AX30G12Z4M01-001@1576
1436.72,G385300020200@2339
1436.82,D26749251@2339
1436.92,25083@1630
1437.05,D26746989@2339
1437.13,E6-09-002@0211
1437.13,E9-05-100@0211
1437.18,DLH1700479@0107
1437.25,101152@1630
1437.55,841823400@0086
1437.55,F027366@0086
1437.58,15-3024MF@0115
1437.67,17ET33A1@0077
1437.67,26049@0161
1437.72,006968@1144
1438,700T3E0DC1A109F1TL1VG@0772
1438.5,36464740@1607
1438.5,A6000016-001@0317
1438.5,HV213690@0139
1438.52,6333700390@2073
1439.28,U4851@2246
1439.45,2508249@0610
1439.72,2424J401@1945
1439.85,4267032M91@2339
1440.37,3904481M12@2339
1440.97,6832249@0005
1440.97,3765592M91@2339
1441.5,86624483@0211
1441.55,6510277@0211
1441.62,RE24122300@2007
1441.82,P750-120@0612
1442.13,528076D1@2339
1443.15,VA148826@2339
1443.43,A65011861@0107
1443.63,23011966@0005
1443.8,425-S99-2111@1563
1443.95,MS30TR5924000B@0924
1444.23,WT09A2/WP03B1@2128
1444.27,LRL025C-PC21NNNNN3-C2AGA6NPLB-NNNNNN@0115
1445.02,6555794@0211
1445.85,3892A4733@0107
1446.23,A3875M637@0107
1446.55,4270793M92@2339
1446.6,2988256@0091
1446.8,21851114@1578
1447.38,1090258@1660
1447.48,A8730008-001@0317
1447.5,1PX1201PX045C@0018
1447.5,4061-318-059@1623
1447.5,E-5030197-SR@0163
1447.68,70688880@1137
1447.68,A93722X440@0107
1448.47,68746@1630
1448.7,157N0248@1660
1448.73,6803337@0211
1449.1,72570102@2339
1449.28,72526540@2339
1449.77,V35126200@2339
1449.9,312-9121-528@0018
1449.95,283983@0009
1450.13,702-21-04141@1563
1450.15,D28085762@2339
1450.5,11E3-4001@0612
1450.5,31LG-20011@0612
1450.5,31N3-70020@0612
1450.5,31LG-20021@0612
1450.5,31N3-70010@0612
1450.53,129953-77210@0873
1450.57,VA6035@0125
1450.6,A33222A1015@0107
1451.35,4644-208-175@1623
1451.42,4460-368-133@1623
1451.42,4460 368 133@0701
1451.85,A3280S9743X@0107
1451.98,428-62-13211@1563
1452,74L4-10461@0612
1452.15,V42-1386L@0091
1452.52,224314600@1954
1452.53,4644-203-034@1623
1452.8,AG409232@2339
1452.95,990808@1904
1453.05,7025-454-117@1623
1453.22,3803830553-2@2073
1453.28,307-165@1890
1453.5,705-21-32060@1563
1453.7,23011162@0005
1454.03,BF3179@0125
1454.05,6778347@0120
1454.05,6814563@0211
1454.05,73046026@1137
1454.33,16853-72061@2136
1454.37,71286246@2339
1454.4,8927126@0029
1454.75,292SC06@1474
1455.58,71EK-53100@0612
1455.67,150-0243@1660
1455.82,74L4-20103@0612
1456.2,0502-815@2407
1456.3,72271452@2339
1456.42,6662299@0211
1456.82,8473-955-185@1623
1457.08,5016077M1@2339
1457.73,S2612@0043
1457.93,2407P725@1945
1458.65,523849D2@2339
1458.75,MF2020-2828R@1544
1458.77,8032641002@0132
1458.83,106866X@0009
1458.87,V35708300@2339
1458.98,40289@0043
1459,31Y1-21351@0612
1459.08,AG306262@2339
1459.25,6500622@0066
1459.37,235356010@0612
1459.63,31E6-0008@0612
1459.63,VR050-B021@0297
1459.85,141358@0278
1459.85,14465-M01@1598
1460.48,108537W91@2339
1460.62,2PL0502PL052PL044C8601@0351
1461,22793@1630
1461,151F0504@1660
1461.33,4657-375-006@1623
1462.42,1026845@0161
1462.55,6513812@0211
1462.8,D28181630@2339
1463.12,3891F1098@0107
1463.12,69017683@0163
1463.18,6588426@0211
1463.7,HFC32740A@0104
1463.83,S9213990160@0107
1464.13,F601467@0086
1464.52,107511X@0009
1464.87,348-9201-458@0018
1465.2,E88502074@0107
1465.43,0118-2038@1098
1465.45,4325208@2339
1465.5,E-11624627@0163
1465.82,F731200510050@2339
1466.93,L1497A@0066
1467.17,361-9202-330@0018
1467.48,71425036@2339
1467.68,700153517@2339
1468.57,224467100@1954
1468.63,R902435257@1576
1468.93,71391859@2339
1469.82,707-59-75031@0612
1469.88,4224713M91@2339
1470.38,7470-C-15A@0094
1470.72,S0492340@2339
1471.28,23.1476.20@1697
1471.28,F824100050100@2339
1471.35,SVBP01033DN31VS@0095
1471.75,101235@1630
1472.13,4414-420@0461
1472.25,CPB-1397@0115
1472.72,0-521-608-013@0110
1472.82,6627294@2339
1472.93,VA339887@2339
1472.93,VA148851@2339
1473.25,4278657M11@2339
1473.35,02049000@0278
1473.35,13-547-072@1490
1473.42,460257BR@1693
1473.45,347993@0653
1473.78,3133J7862@0107
1474.45,3802G2061@0107
1474.48,76291@0151
1475.33,29665@1630
1475.33,102523@1630
1475.52,4472-219-050@0612
1475.85,2024493@0278
1475.85,2374360@0278
1475.92,4656-373-007@1623
1476.37,212126300@1954
1478.53,3133G8509@0107
1478.82,M220-29-S-30@0303
1478.85,4143-335-025@1623
1479.33,7650-9C@0094
1479.65,F043573@0086
1479.65,3797736@0104
1479.7,4232653M1@2339
1479.97,193062900@1954
1480.13,R978911193@1576
1480.15,86624699@0211
1480.43,AK1118@0125
1480.98,0502-975@2407
1481,H395300011010@2339
1481.05,6777013@0005
1481.12,31LB-90000@0612
1481.43,4112-302-232@1623
1481.62,157F3239@1660
1481.65,0009810062@0132
1481.78,260367@0701
1482.13,F276850@0086
1482.32,11L7-20100@0612
1482.33,0-403-446-752@0110
1482.33,0-401-846-796@0110
1482.33,751-22862A@0110
1482.33,84824069A@0110
1482.48,333363@0653
1483.08,32939@1630
1483.1,3A37797@0100
1483.32,4210337@2123
1484.22,E131-0292@0612
1484.98,601163@0278
1485.75,ERS15397-2@0043
1485.9,20Y-26-21110@1563
1485.97,6837657@0005
1486.43,0-531-013-700@0110
1486.6,24632@0123
1486.78,UB8994@0120
1486.85,208-26-31141@1563
1486.88,17FM311S1@0077
1486.88,3137923@0399
1486.88,78566A@0161
1487,3901831M91@2339
1487.55,I-1-26-2245@0461
1487.57,70543-409@0015
1487.93,707-02-11511@1563
1487.93,707-02-11521@1563
1487.97,LA391800176@2339
1488.18,841932900@0086
1488.32,2238505@2339
1488.83,625863C91@0096
1488.9,VJ7450@0125
1488.95,644-40540-3@0142
1489.55,841463100@0086
1489.72,6684274@0211
1490.4,341140@0653
1490.53,150-1155@1660
1490.65,07500598@1535
1490.75,6658248@0211
1491.18,AG502189@2339
1491.37,PVHK1249@2265
1491.65,3102C4319@0107
1491.75,5535 & 5564@0117
1491.92,56344@0043
1492.17,S2058@0043
1492.62,A225192P@0461
1492.72,6884303@0005
1492.73,6768464@0005
1493.38,700724170@2339
1494.23,6806379@0211
1494.43,21L9-40080@0612
1494.62,3816.042.2000@2269
1494.75,E-5080016-SR@0163
1494.77,6833597@0005
1495.17,31L4-01750@0612
1495.17,31L4-01760@0612
1495.6,592SCM5@1474
1496.47,D28789119@2339
1497.47,AD8412@0933
1497.73,3891M1859@0107
1498.62,6333700418@2073
1498.97,3204Z26@0107
1499.07,E89D509@0094
1499.48,GL63A01001P1@1945
1499.93,AG799955@2339
1499.93,999304@1904
1500.28,82390-6@0211
1500.38,MHRSM16B10/AG26Z4M@1576
1500.78,841904400@0086
1500.97,0-401-846-852@0110
1501.28,LT13MKA-3X/080-025B18/02M17@1576
1501.53,31E6-45011@0612
1501.78,843042800@0086
1501.8,210610@0701
1501.8,23311-002@0091
1501.9,6691495@0211
1502.12,6966061@0211
1502.2,800437-012@2393
1502.2,800437-011@2393
1502.25,VE2465@0125
1502.32,R900714627@1576
1503.63,PB6180@0125
1504.07,HP-8.2K-26866@1109
1504.92,1686483M91@2339
1505.25,A6611036-001@0317
1505.8,VE0226@0125
1505.87,BM003D@0104
1505.87,BM003S@0104
1506.45,C28L29165@0115
1506.57,3219Q4749@0107
1506.68,10624712@1607
1506.8,106240@0009
1506.8,286619@0009
1507.02,3551953M92@2339
1508.33,190691@0701
1508.4,R909603991@1576
1508.43,057886300@1954
1508.55,71EK-41101@0612
1508.77,707-36-26011@1563
1508.78,422109@1576
1508.93,2-711-008-680-00@1385
1509.07,4656-372-009@1623
1509.1,F021532@0086
1509.48,14346812@1607
1510.03,F210310020030@2339
1510.5,850226K@1662
1510.85,175-15-42111@1563
1511.08,82586@1630
1511.18,4474-308-032@1623
1511.7,KUA7108061@2339
1511.75,40191@1630
1511.88,P16-4178@0036
1512.25,156B1036@1660
1512.53,175-22-21271@1563
1513.27,GRBR0215@2339
1513.32,6773728@0005
1513.52,S0424369@2339
1514.68,VE1027@0125
1514.78,3541016M91@2339
1514.83,4271644M1@2339
1515.13,11E9-90001@0612
1515.13,2936-9N01@0612
1515.13,71EG-52302@0612
1515.13,74L3-11430@0612
1515.13,916694@0104
1515.17,24081@1630
1515.92,31L3-03980@0612
1515.92,31L3-03990@0612
1517.05,6778535@0005
1517.05,VE0747@0125
1517.25,AA11VG50DG1/12 RPTC60F042S@1576
1517.32,4143-315-036@1623
1517.63,33522-00-21@2073
1518.05,6639481@0211
1518.07,72554800@2339
1518.22,1102100@0665
1518.28,VS5824@0125
1518.38,4646-298-003@1623
1518.7,AM4348863B@0066
1518.87,MCE208B1001@1660
1519.05,12F-63-52500@1563
1519.37,330464@0653
1519.83,V0605AGB87L@1831
1519.9,CS21-A1010-H3BX@0889
1519.93,90544491@1493
1520.32,A3213E915@0107
1520.72,965-1763@0933
1520.9,6961681@0211
1520.92,193063000@1954
1521.1,514880000013@0538
1521.18,PB3709@0125
1521.35,6517983@0211
1521.75,49950612@1607
1521.83,0-263-301-371@0110
1521.83,260373@0701
1521.98,3267D160@0107
1522.08,P0271802@0104
1522.18,747002@1550
1523.12,3266V1192@0107
1523.4,6598331@0211
1523.7,653002C94@0096
1523.8,210718@0278
1524.07,24MA4A2-17PR-50@2128
1524.32,23047242@0005
1524.57,A100BB11JV@0077
1524.65,2000776@0161
1524.65,41D732066G4@0077
1524.92,4642-308-122@1623
1525.33,AM6L60035@0066
1525.35,31Y1-08891S@0612
1525.35,35D1-30311@0612
1525.35,64E1-2103@0612
1525.68,17204T@0167
1526.03,3219X4366@0107
1526.83,426-03-11781@1563
1527.05,34L3-00012@0612
1527.05,34L3-00022@0612
1527.2,1016609@0161
1528.45,3635894M91@2339
1528.47,WR136437@2339
1528.52,111030008@2302
1528.95,811126300@0086
1529.02,306S-129@0030
1529.02,841864800@0086
1529.53,6777740@0005
1529.92,101633@1630
1530.08,81530-99@0278
1531.03,A71614063@0107
1531.47,D28789072@2339
1531.57,1303-289@0382
1531.67,V837073063@2339
1531.73,6773554@0120
1532,151B0201@1660
1532.1,171775100@1954
1532.58,29516997@0005
1532.73,40282002@0072
1532.85,14589/01@1645
1533,469734-5002@0003
1533.2,2102-132D@1471
1533.57,04293053@1850
1533.62,71413314@2339
1533.72,R978725227@1576
1533.85,71EH-56001@0612
1533.87,24L1-40081@0612
1534.02,109700-25@0043
1534.08,3791563M1@2339
1534.22,72291620@2339
1534.58,61S5-02000@0612
1534.67,69131@1630
1534.68,A53222E1201@0107
1534.8,2378840@0278
1535.07,ADB1560534@0107
1535.25,MVT025RY132000@0095
1535.32,6517878@0211
1535.55,7126-22100@0612
1535.55,XKBQ-00341@0612
1535.57,151-0314@1660
1536.33,6803339@0211
1536.4,9437624@1577
1536.92,70296@1630
1537.7,907516@1616
1537.87,11054M01@1598
1538.15,23010319@0005
1538.58,6508539@0211
1538.97,XKBQ-00045@0612
1539.05,4644-351-008@1623
1539.23,42014-0453@0278
1539.23,DMR30-506@0978
1539.27,6778802@0005
1539.47,A3280K6381@0107
1539.48,1027120@0161
1539.48,6883703@0153
1539.6,6207-2ZR@2175
1539.75,E-30186472@0163
1539.8,4235839M1@2339
1540.02,4644-311-159@1623
1540.03,658166C2@0096
1540.2,50340287-01@1665
1540.27,6833144@0005
1540.32,4462-301-218@1623
1540.5,230091@0701
1540.6,VZ4833@0125
1540.82,31E9-1000@0612
1540.83,26268@1630
1541.08,W202R-3152@1733
1541.6,08402437@1576
1541.63,S1X-26G2AMPK196C@0115
1542.77,70423RDT@0013
1543.35,15476-23010@0217
1543.45,GTA340741@2339
1543.52,4143-302-018@1623
1543.88,842264600@0086
1544.1,6817109@0211
1544.17,700642200@0086
1544.23,04A0B363235Z884@1972
1544.23,B363235Z884@0107
1544.23,71006841@1137
1544.3,AT260508@0701
1544.83,LA322581900@2339
1544.93,4644-303-279@0612
1544.93,F040065@0086
1545.42,D26747295@2339
1545.5,159899200@1954
1545.6,WM09A11820314@1537
1545.73,347-9205-678@0018
1546.25,UXB7224@0120
1546.33,6962360@0211
1547.38,2782253@2003
1547.4,156B2119@1660
1547.43,6778237@0005
1547.47,11ER-42331@0612
1547.48,A72006594@0107
1547.58,D706248-4X@0107
1547.88,M5294927@0172
1548.3,2QBE-20/014@0674
1548.32,3802T1970@0107
1548.52,A3213A1327@0107
1548.55,421-22-12100@1563
1549.17,31N3-50110@0612
1549.17,31N3-50120@0612
1549.3,GTA362437@2339
1549.35,71E9-61001@0612
1549.88,224207@0701
1550.6,SA78500352@0107
1550.72,333-9130-012@0018
1550.87,205-341-03-02@0612
1550.87,34E7-04600@0612
1550.88,1210939H91@0096
1550.88,1212675H92@0096
1550.88,884172C1@0096
1551,E-30166508@0163
1551.27,BA220-6A4@1596
1551.27,F010049@0086
1552.03,284354@0009
1552.58,6705650@0211
1552.93,81126@0278
1553.1,287070@0009
1553.18,16853-72061@0211
1553.2,203645@0020
1553.4,AG138077@2339
1554,100442@1630
1554.6,4646-253-015@0612
1554.68,312-9620-015@0018
1554.98,29501068@0701
1554.98,333652@0653
1555.07,330940@0653
1555.78,D28785652@2339
1555.95,377585@0653
1555.97,31L7-00070@0612
1555.97,31L7-00080@0612
1556.73,HV213755@0139
1557.13,7400708@0066
1557.2,130803@0278
1557.92,YZ4102865@0072
1558,DX19539@0107
1558.38,151Z3016@1660
1558.42,100298@1630
1559.15,A4FM40/32W-NZC02@1576
1559.15,R902190353@1576
1559.58,6000356@2339
1559.78,HV213783@0139
1559.92,GMB9203557@2339
1560,E-43501238@0163
1560.4,6963243@0211
1560.77,504246@1660
1561.32,3427134M92@2339
1562,61846@1630
1562.23,A2FM28/61WVZB03@1576
1562.25,05018277AC@1574
1562.45,SB610-0161@0036
1563.67,X791000@1904
1564.48,31N7-01013@0612
1564.5,784-409UA@1952
1564.55,125348@0653
1564.55,4700944@0879
1565.05,6960559@0211
1565.32,150N1139@1660
1565.4,PB9453@0125
1565.43,4657-406-010@1623
1565.55,9510369-2006@0115
1565.75,826859800@0086
1565.83,81698@1630
1566.18,6333700418@0612
1566.65,C94F610-00@0094
1566.87,5002983@0009
1567.88,31N6-66200@0612
1567.88,335361-32110@1589
1567.98,VM0061@0125
1568.53,6688519@0211
1569.07,JK18499@2339
1569.67,218452700@1954
1570.17,01249400@0278
1570.17,M-526-0147-48V@1826
1570.2,434 100 0230@2062
1570.2,4341000230@2062
1571.13,GM20056685@2339
1572.17,GTA342351@2339
1572.8,A2FM23/61W-VPB040@1576
1572.93,2925CX61@1474
1572.93,292SCX61@1474
1572.98,30377-18302@0612
1573.17,20716@0278
1573.78,173248500@1954
1574.07,4642-308-117@1623
1574.18,BW053357@1563
1574.35,CH0549@0125
1574.45,334190@0653
1574.47,GTA362433@2339
1574.48,779-03-132@1684
1574.7,32E5-00120@0612
1575.25,3200013@0399
1575.37,LT07MFA-20/065/02MS05@1576
1575.95,2-547-P04030-00@1385
1576.03,WR40078@2339
1576.03,WR40426@2339
1576.48,6777805@0005
1577.52,AL4500167@2339
1578.07,1838-37@1555
1578.08,74L1-00924@0612
1578.33,71072@1630
1578.95,F434412@0086
1579.23,SBCF0466@0104
1580.22,6508332@0211
1580.45,144101300@1954
1580.75,82165@1630
1582.1,13-587-002@1490
1582.5,3186005@0317
1582.5,550-503-687@1645
1582.5,HFB64055R@1664
1582.5,VE9995@0125
1582.5,VS7974@0125
1582.82,V4109ND224V6@0095
1583.55,GM30029372@2339
1583.77,709842C91@0096
1583.8,4651-306-098@1623
1584.17,4644-306-280@1623
1584.23,456.50.01.28@1576
1584.75,E-11624628@0163
1585.08,103771@1630
1585.27,AA10VG45EZ1DM1/10R-NSC66N003EP@1576
1585.55,826114000@0086
1585.58,6665302@0211
1585.63,7R9061@0012
1585.63,A322B314@0107
1585.63,73037213@1137
1585.75,VJ9068@0125
1586.6,31LD-20180@0612
1586.63,3213A1899@0107
1586.97,711-56-31510@1563
1587.33,72596@1630
1587.57,G360303070010@2339
1587.72,M6104209@0172
1588.13,351765@0578
1588.4,6009-036-102@1623
1588.53,2101-129B@1471
1588.87,6658178@0211
1589.38,195178300@1954
1589.88,211936@0278
1589.93,60870@0122
1590.57,426-06-A2320@1563
1590.58,28995@1630
1590.75,6400001@0066
1590.83,6776007@0005
1590.88,V33424200@2339
1591.42,4472-219-061@0612
1591.42,74L4-10810@0612
1591.7,31L9-90160@0612
1591.9,6771102@0005
1591.92,6777404@0005
1592.42,311860-010@1481
1592.42,8178734@0317
1592.55,0-510-725-103@1578
1592.93,6682443@0211
1593.83,841832000@0086
1594.1,3220823@0612
1594.22,37138021@1557
1594.47,4521-841@0461
1594.52,MHB25RNPA30800Z20A04D0V18@1576
1594.63,EC1817@0125
1594.63,EC7726@0125
1594.63,EC7439@0125
1594.63,SM3412@0125
1594.63,VJ8720@0125
1594.63,VY3669@0125
1594.63,VY5045@0125
1594.65,112812000@1954
1594.88,PT33356A200@2339
1595.02,D49067200@2339
1595.08,VJ1740@0125
1597.22,A74210066@0107
1597.8,51551@0094
1598.1,5712.203.0502@2216
1598.13,MM437-678@0697
1598.45,5002-B-61@0095
1598.62,M2529HTHMA1X@0090
1599.48,1E010-01010@0217
1599.92,862626M93@2339
1600,65923@0030
1600.87,VE1893@0125
1601.07,703-08-33232@1563
1601.65,526761D1@2339
1601.8,224131200@1954
1602.28,003-10097-1@0250
1602.63,D86880135@2339
1602.73,R900768636@1576
1603.1,1209909H1@0096
1603.65,333284@0653
1603.75,6836057@0005
1604.08,313-9131-221@0018
1604.28,6778319@0005
1604.78,4464-350-042@1623
1604.78,A229874P@0461
1604.83,B5821737P@2339
1604.95,512946D1@2339
1604.98,3876R408@0107
1605.12,5000-B222C@0094
1605.12,F033692@0086
1605.72,6961423@0211
1606.02,3267Q1057@0107
1606.05,A3102U4259@0107
1606.78,803104@1496
1606.93,0634.043.0000@2269
1606.98,85455-03-12P@0104
1607.02,34L1-02520@0612
1607.03,R171658@0107
1607.33,3102919@0020
1607.33,X219847B@0120
1607.75,PB9494@0125
1607.85,3802X934@0107
1607.97,K2873@0043
1608.03,DM4-4472@0112
1608.45,VA148828@2339
1608.67,34961@1630
1608.72,208-63-53180@0612
1609.22,20Y-979-A210@1563
1609.4,707-00-01000@1563
1609.55,189-5977@2339
1610.42,11L9-30181@0612
1610.67,6961419@0211
1611.25,6671852@0211
1611.75,HDB64016@0107
1611.78,AG717910@2339
1611.97,VS8730@0125
1612.15,850NYSM34147@0107
1612.23,40312@0151
1612.23,40313@0151
1612.58,6598776@0211
1613.1,TS00PL4920079A@0924
1614.17,MCD-3941@0124
1614.97,23655@0278
1615.08,496@1489
1615.65,4644-308-453@1623
1615.68,111040022@2302
1616.15,LA322990900@2339
1616.25,5830-003-185@1578
1616.25,MCR05A565375A60Z3XB2V2WL1@1578
1616.32,VS6841@0125
1616.62,1318-167@0382
1616.63,FC3120C5B36C@0095
1616.65,23309005@0104
1616.7,3372077R1@0096
1616.7,606866C91@0096
1616.7,91828@0151
1616.7,935387C91@0096
1617.33,334-9214-046@0018
1618.08,D28907X@0107
1618.87,4300367M1@2339
1618.92,34L4-01340@0612
1619.23,094104900@1954
1620.37,4518-118@0461
1620.67,A2FM45/61W-VAB030@1576
1621.77,700261500@0086
1621.95,WR34447@2339
1622.05,3789997M92@2339
1622.12,R151705@0107
1622.75,76255@1630
1622.78,34950451@2339
1622.87,V38M203@0095
1623.17,6804949@0211
1623.38,153570500@1954
1623.57,113-1112-006@0015
1623.73,4646-353-124@1623
1624.03,31LG-60021@0612
1624.83,82051@1630
1624.92,4644-251-038@0612
1625.18,6008-308-107@1623
